kepid,koi_disposition,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
10797460,CONFIRMED,291.93423,48.141651,0,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,793,NA,NA,93.59,29.45,-16.65,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061
10797460,CONFIRMED,291.93423,48.141651,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,443,NA,NA,9.11,2.87,-1.62,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061
10811496,FALSE POSITIVE,297.00482,48.134129,0,1,0,0,19.89913995,1.494e-05,-1.494e-05,175.850252,0.000581,-0.000581,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829,171,-171,14.6,3.92,-1.31,638,NA,NA,39.3,31.04,-10.49,5853,158,-176,4.544,0.044,-0.176,0.868,0.233,-0.078
10848459,FALSE POSITIVE,285.53461,48.28521,0,1,0,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395,NA,NA,891.96,668.95,-230.35,5805,157,-174,4.564,0.053,-0.168,0.791,0.201,-0.067
10854555,CONFIRMED,288.75488,48.2262,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406,NA,NA,926.16,874.33,-314.24,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133
10872983,CONFIRMED,296.28613,48.22467,0,0,0,0,11.09432054,2.036e-05,-2.036e-05,171.20116,0.00141,-0.00141,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,835,NA,NA,114.81,112.85,-36.7,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105
10872983,CONFIRMED,296.28613,48.22467,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686,18.7,-18.7,2.77,0.9,-0.3,1160,NA,NA,427.65,420.33,-136.7,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105
10872983,CONFIRMED,296.28613,48.22467,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360,NA,NA,807.74,793.91,-258.2,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105
6721123,FALSE POSITIVE,298.86435,42.151569,0,1,1,0,7.36178958,2.128e-05,-2.128e-05,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1342,NA,NA,767.22,349.28,-365.49,6227,111,-124,3.986,0.182,-0.098,1.958,0.322,-0.483
10910878,CONFIRMED,286.99948,48.37579,0,0,0,0,16.06864674,1.088e-05,-1.088e-05,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,600,NA,NA,30.75,4.46,-6.66,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072
11446443,CONFIRMED,286.80847,49.316399,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14231,4.2,-4.2,13.04,0.51,-0.51,1339,NA,NA,761.46,106.21,-95.76,5820,78,-78,4.457,0.024,-0.024,0.964,0.038,-0.038
10666592,CONFIRMED,292.24728,47.969521,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048,NA,NA,4148.92,651.59,-654.46,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11
6922244,CONFIRMED,281.28812,42.45108,0,0,0,0,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521,NA,NA,1264.67,307.23,-276.48,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11
10984090,CONFIRMED,295.64871,48.49556,0,0,0,0,3.709214104,6.536e-06,-6.536e-06,133.98318,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.1,3,-3,1.16,0.17,-0.12,1206,NA,NA,500.46,197.96,-130.54,5833,105,-117,4.407,0.085,-0.114,1.022,0.143,-0.107
10419211,FALSE POSITIVE,297.07993,47.597401,0,1,0,0,11.521446064,1.98e-06,-1.98e-06,170.839688,0.000131,-0.000131,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984,31.9,-31.9,150.51,39.76,-13.31,753,NA,NA,75.88,58.89,-19.99,5795,155,-172,4.554,0.033,-0.176,0.848,0.224,-0.075
10464078,FALSE POSITIVE,289.25821,47.635319,0,1,0,0,19.40393776,2.068e-05,-2.068e-05,172.484253,0.000842,-0.000842,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,523,NA,NA,17.69,6.66,-4.88,5043,151,-151,4.591,0.072,-0.048,0.68,0.072,-0.065
10480982,FALSE POSITIVE,295.81454,47.69035,0,1,0,0,19.221388942,1.123e-06,-1.123e-06,184.5521637,4.5e-05,-4.5e-05,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284,21.9,-21.9,49.29,16.03,-5,698,NA,NA,55.97,54.55,-16.4,6117,182,-200,4.496,0.052,-0.208,0.947,0.308,-0.096
10485250,FALSE POSITIVE,297.15442,47.668701,0,1,0,0,16.46983774,1.361e-05,-1.361e-05,180.881761,0.000623,-0.000623,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479,39.9,-39.9,7.94,0.89,-0.89,595,NA,NA,29.61,12.01,-8.91,5152,168,-153,4.517,0.088,-0.072,0.786,0.088,-0.088
10526549,CONFIRMED,288.13824,47.724449,0,0,0,0,9.27358173,1.037e-05,-1.037e-05,173.258155,0.000877,-0.000877,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,649,NA,NA,41.85,12.49,-11.7,4856,131,-146,4.583,0.065,-0.035,0.696,0.056,-0.068
10583066,CONFIRMED,283.71088,47.86327,0,0,0,0,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,678,NA,NA,50.04,16.4,-9.88,4537,123,-123,4.648,0.02,-0.056,0.672,0.062,-0.036
10583180,FALSE POSITIVE,283.76547,47.804298,0,1,1,1,2.696370652,7.534e-06,-7.534e-06,170.73769,0.00234,-0.00234,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,1066,NA,NA,305.34,96.64,-86.33,4989,149,-149,4.504,0.09,-0.06,0.819,0.067,-0.082
10601284,CONFIRMED,292.37613,47.880989,0,0,0,0,5.349553819,8.834e-06,-8.834e-06,171.80694,0.00127,-0.00127,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831,14.8,-14.8,2.55,0.16,-0.24,919,NA,NA,168.99,34.66,-38.48,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086
